YEAR,IC,PMID,grp
2022,CC,34406794,restIRP
2022,CC,33529138,restIRP
2022,CC,34268520,restIRP
2022,CC,34467402,restIRP
2022,CC,35132612,restIRP
2022,CC,33436734,restIRP
2022,CC,33537772,restIRP
2022,CC,33687146,restIRP
2022,CC,33707581,restIRP
2022,CC,33728278,restIRP
2022,CC,33842890,restIRP
2022,CC,33846112,restIRP
2022,CC,33847515,restIRP
2022,CC,33867045,restIRP
2022,CC,34003127,restIRP
2022,CC,34171743,restIRP
2022,CC,34181465,restIRP
2022,CC,34216724,restIRP
2022,CC,34433302,restIRP
2022,CC,34526699,restIRP
2022,CC,34581627,restIRP
2022,CC,34584862,restIRP
2022,CC,34733603,restIRP
2022,CC,34898541,restIRP
2022,CC,34916246,restIRP
2022,CC,34971530,restIRP
2022,CC,35065205,restIRP
2022,CC,35274717,restIRP
2022,CC,35349838,restIRP
2022,CC,35523680,restIRP
2022,CC,35633863,restIRP
2022,CC,35647400,restIRP
2022,CC,36223450,restIRP
2022,CC,33831133,restIRP
2022,CC,34764490,restIRP
2022,CC,35262093,restIRP
2022,CC,35350206,restIRP
2022,CC,35617976,restIRP
2022,CC,35816430,restIRP
2022,CC,33647315,restIRP
2022,CC,33558725,restIRP
2022,CC,33764809,restIRP
2022,CC,34302788,restIRP
2022,CC,34819105,restIRP
2022,CC,34961881,restIRP
2022,CC,35176501,restIRP
2022,CC,33708139,restIRP
2022,CC,32943333,restIRP
2022,CC,35049965,restIRP
2022,CC,35385353,restIRP
2022,CC,34778782,restIRP
2022,CC,32816535,restIRP
2022,CC,34562716,restIRP
2022,CC,34749164,restIRP
2022,CC,34755359,restIRP
2022,CC,34566715,restIRP
2022,CC,34529025,restIRP
2022,CC,35338023,restIRP
2022,CC,33836561,restIRP
2022,CC,33829156,restIRP
2022,CC,33870238,restIRP
2022,CC,34868681,restIRP
2022,CC,35852491,restIRP
2022,CC,35876604,restIRP
2022,CC,36056625,restIRP
2022,CC,33391495,restIRP
2022,CC,33462481,restIRP
2022,CC,33801627,restIRP
2022,CC,33906946,restIRP
2022,CC,33686174,restIRP
2022,CC,34017984,restIRP
2022,CC,35736127,restIRP
2022,CC,33954879,restIRP
2022,CC,34087243,restIRP
2022,CC,34155405,restIRP
2022,CC,34529785,restIRP
2022,CC,34580862,restIRP
2022,CC,34607348,restIRP
2022,CC,34734209,restIRP
2022,CC,35312200,restIRP
2022,CC,31519111,restIRP
2022,CC,32844594,restIRP
2022,CC,35302510,restIRP
2022,CC,35694445,restIRP
2022,CC,32654436,restIRP
2022,CC,34051093,restIRP
2022,CC,34625127,restIRP
2022,CC,34836988,restIRP
2022,CC,35064269,restIRP
2022,CC,35134860,restIRP
2022,CC,33870325,restIRP
2022,CC,35512254,restIRP
2022,CC,32107536,restIRP
2022,CC,32916100,restIRP
2022,CC,34224257,restIRP
2022,CC,34351392,restIRP
2022,CC,35097154,restIRP
2022,CC,35051899,restIRP
2022,CC,35156216,restIRP
2022,CC,35314627,restIRP
2022,CC,35380492,restIRP
2022,CC,35607354,restIRP
2022,CC,35761820,restIRP
2022,CC,32374861,restIRP
2022,CC,32798221,restIRP
2022,CC,33786449,restIRP
2022,CC,33909072,restIRP
2022,CC,34314131,restIRP
2022,CC,34775876,restIRP
2022,CC,34990440,restIRP
2022,CC,33530713,restIRP
2022,CC,33544766,restIRP
2022,CC,34341150,restIRP
2022,CC,34400207,restIRP
2022,CC,35026471,restIRP
2022,CC,35045892,restIRP
2022,CC,35348360,restIRP
2022,CC,35846634,restIRP
2022,CC,35898632,restIRP
2022,CC,33403122,restIRP
2022,CC,34222356,restIRP
2022,CC,34260404,restIRP
2022,CC,34794498,restIRP
2022,CC,35045743,restIRP
2022,CC,33098316,restIRP
2022,CC,33270227,restIRP
2022,CC,33544617,restIRP
2022,CC,33590501,restIRP
2022,CC,33667181,restIRP
2022,CC,33782178,restIRP
2022,CC,33899963,restIRP
2022,CC,33962485,restIRP
2022,CC,34039276,restIRP
2022,CC,34060094,restIRP
2022,CC,34323306,restIRP
2022,CC,34494027,restIRP
2022,CC,34724566,restIRP
2022,CC,34791087,restIRP
2022,CC,34792200,restIRP
2022,CC,34878316,restIRP
2022,CC,35366607,restIRP
2023,CC,36197094,restIRP
2023,CC,37221835,restIRP
2023,CC,35316695,restIRP
2023,CC,35504570,restIRP
2023,CC,36975616,restIRP
2023,CC,37009203,restIRP
2023,CC,36688643,restIRP
2023,CC,36853008,restIRP
2023,CC,36912659,restIRP
2023,CC,34783391,restIRP
2023,CC,36598976,restIRP
2023,CC,36801946,restIRP
2023,CC,30106347,restIRP
