,pi,ro,collab,institute,scope
1205,"Theodore B Usdin, MD, PhD; IRP Faculty",Systems Neuroscience Imaging Resource,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH
1206,"Theodore B Usdin, MD, PhD; IRP Faculty",Systems Neuroscience Imaging Resource,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH
1211,"Tobias David Merson, BA, BSc(Hons), PhD",Oligodendroglial Interactions Group,"Theodore B Usdin, MD, PhD",Systems Neuroscience Imaging Resource,NIMH
1212,"Tobias David Merson, BA, BSc(Hons), PhD",Oligodendroglial Interactions Group,"Sarah Kaye Williams, PhD",Systems Neuroscience Imaging Resource,NIMH
1213,"Tobias David Merson, BA, BSc(Hons), PhD",Oligodendroglial Interactions Group,Vitaly P Boyko,Systems Neuroscience Imaging Resource,NIMH
1214,"Tobias David Merson, BA, BSc(Hons), PhD",Oligodendroglial Interactions Group,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH
1215,"Tobias David Merson, BA, BSc(Hons), PhD",Oligodendroglial Interactions Group,"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,NIMH
1216,"Tobias David Merson, BA, BSc(Hons), PhD",Oligodendroglial Interactions Group,"George Raphael Dold, MS",Section on Instrumentation,NIMH
1217,"Tobias David Merson, BA, BSc(Hons), PhD",Oligodendroglial Interactions Group,"Snehashis  Roy, PhD",Systems Neuroscience Imaging Resource,NIMH
1218,"Tobias David Merson, BA, BSc(Hons), PhD",Oligodendroglial Interactions Group,Eric Browning Saglio,Section on Instrumentation,NIMH
1231,"Tonya Jo Hanson White, PhD, MD",Section on Social and Cognitive Developmental Neuroscience,"Peter A Bandettini, BS, PhD",Functional MRI Core,NIMH
1232,"Tonya Jo Hanson White, PhD, MD",Section on Social and Cognitive Developmental Neuroscience,"Ashura  Buckley, MD",Sleep and Neurodevelopment Service,NIMH
1233,"Tonya Jo Hanson White, PhD, MD",Section on Social and Cognitive Developmental Neuroscience,Dustin Eaton Moraczewski,Data Science and Sharing Team,NIMH
1234,"Tonya Jo Hanson White, PhD, MD",Section on Social and Cognitive Developmental Neuroscience,"Lindsay Meredith Oberman, PhD",Unit on Non-invasive Neuromodulation,NIMH
1235,"Tonya Jo Hanson White, PhD, MD",Section on Social and Cognitive Developmental Neuroscience,"Adam G Thomas, DPhil",Data Science and Sharing Team,NIMH
1236,"Tonya Jo Hanson White, PhD, MD",Section on Social and Cognitive Developmental Neuroscience,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,NIMH
1261,"Veronica Alicia Alvarez, PhD",Section on Neurobiology of Compulsive Behaviors,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH
1276,"Victor W Pike, PhD",Section on PET Radiopharmaceutical Sciences,"George Raphael Dold, MS",Section on Instrumentation,NIMH
1277,"Victor W Pike, PhD",Section on PET Radiopharmaceutical Sciences,"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,NIMH
1278,"Victor W Pike, PhD",Section on PET Radiopharmaceutical Sciences,"Barry J Richmond, MD",Section on Neural Coding and Computation,NIMH
1293,"Yogita  Chudasama, PhD",Rodent Behavioral Core,"George Raphael Dold, MS",Section on Instrumentation,NIMH
1294,"Yogita  Chudasama, PhD",Rodent Behavioral Core,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,NIMH
1295,"Yogita  Chudasama, PhD",Rodent Behavioral Core,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,NIMH
1296,"Yogita  Chudasama, PhD",Rodent Behavioral Core,"Mario Alexander Penzo, PhD",Section on the Neural Circuits of Emotion and Motivation,NIMH
1297,"Yogita  Chudasama, PhD",Rodent Behavioral Core,Eric Browning Saglio,Section on Instrumentation,NIMH
1298,"Yogita  Chudasama, PhD",Rodent Behavioral Core,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH
1299,"Yogita  Chudasama, PhD",Rodent Behavioral Core,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,NIMH
1310,"Yogita  Chudasama, PhD",Section on Behavioral Neuroscience,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH
1311,"Yogita  Chudasama, PhD",Section on Behavioral Neuroscience,"George Raphael Dold, MS",Section on Instrumentation,NIMH
1312,"Yogita  Chudasama, PhD",Section on Behavioral Neuroscience,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,NIMH
1313,"Yogita  Chudasama, PhD",Section on Behavioral Neuroscience,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,NIMH
1314,"Yogita  Chudasama, PhD",Section on Behavioral Neuroscience,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH
1315,"Yogita  Chudasama, PhD",Section on Behavioral Neuroscience,Eric Browning Saglio,Section on Instrumentation,NIMH
1316,"Yogita  Chudasama, PhD",Section on Behavioral Neuroscience,"Peter J Schmidt, MD",Section on Behavioral Endocrinology,NIMH
1317,"Yogita  Chudasama, PhD",Section on Behavioral Neuroscience,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH
1318,"Yogita  Chudasama, PhD",Section on Behavioral Neuroscience,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,NIMH
1322,"Zheng  Li, PhD",Section on Synapse Development Plasticity,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH
