institution,lat,lon,source
Massachusetts Institute of Technology,42.35825,-71.09663,nominatim
"Massachusetts Institute of Technology, McGovern Institute for Brain Research",42.35825,-71.09663,nominatim
"Massachusetts Institute of Technology, McGovern Institute for brain research",42.35825,-71.09663,nominatim
Max Planck Florida Institute for Neuroscience,26.88383,-80.11485,nominatim
Max Planck Institute for Human Cognitive and Brain Sciences,51.31990,12.39660,hand:Leipzig
Mayo Clinic,-26.15056,27.91973,nominatim
McGill University,45.43184,-73.94529,nominatim
"McMaster University, Psychiatry and Behavioral Neuroscience",43.26394,-79.91783,nominatim
MedStar Georgetown University Hospital,38.91122,-77.07533,nominatim
MedStar Harbor Hospital,39.25184,-76.61403,nominatim
MedStar Washington Hospital Center,38.92875,-77.01477,nominatim
Medical University of Vienna,48.22010,16.34770,hand:Vienna
Monash University,-37.78397,144.95867,nominatim
Montreal Clinical Research Institute,45.51220,-73.57930,hand:Montreal IRCM
Mount Sinai Medical Center,25.81338,-80.14087,nominatim
"Munich, Germany",48.13711,11.57538,nominatim
Nanjing Normal University,32.05506,118.76210,nominatim
"National Autonomous University of Mexico, ENES Juriquilla",19.32160,-99.18493,nominatim
"National Institute of Advanced Industrial Science and Technology, Neuroscience Research Institute",36.05318,140.11711,nominatim
"National Institute of Advanced Industrial Science and Technology, Neurotechnology Group",36.05318,140.11711,nominatim
"National Institute of Radiological Sciences, Molecular Neuroimaging",35.63290,140.10340,hand:Chiba Japan
National Taiwan University,25.01682,121.53846,nominatim
"National and Kapodistrian University of Athens, First Department of Psychiatry",37.97004,23.76524,nominatim
Nationwide Children's Hospital,39.95206,-82.97901,nominatim
"Nationwide Children's Hospital, Research Institute",39.95206,-82.97901,nominatim
Nepal Paediatric Society,27.70170,85.32060,hand:Kathmandu
Nepal Paediatric Society (NEPAS),27.70170,85.32060,hand:Kathmandu
New York University,40.72921,-73.99501,nominatim
"New York University Langone Medical Center, Departments of Pediatrics, Environmental Medicine",40.74230,-73.97357,nominatim
"New York University, Center for Neural Science",40.72916,-73.99443,nominatim
"New York University, Psychology",40.72897,-73.99447,nominatim
"New York University, Yale PET Center",40.72921,-73.99501,nominatim
"Newcastle University, United Kingdom",54.98018,-1.61468,nominatim
Northwell Health,40.72630,-73.44131,nominatim
"Northwestern Health Sciences University, Medical Social Sciences",44.85044,-93.31184,nominatim
Northwestern University,42.05572,-87.67529,nominatim
"Northwestern University Feinberg School of Medicine, Feinberg School of Medicine",41.89611,-87.61724,nominatim
Oklahoma State University Center for Health Sciences,36.13862,-96.00510,nominatim
Oklahoma State University Medical Center,36.14664,-95.99959,nominatim
Oregon Health & Science University,45.49819,-122.68650,nominatim
Osaka University,34.51120,135.63145,nominatim
Oslo University Hospital,59.93110,10.71360,hand:Oslo
Oxford Academic Health Science Network,51.75200,-1.25770,hand:Oxford UK
"Oxford Centre for Computational Neuroscience, Physiology",51.75200,-1.25770,hand:Oxford UK
Penn State Health,40.26059,-77.03933,nominatim
Pennsylvania State University,40.81290,-77.87106,nominatim
"Philipps University of Marburg, Dept. of Anatomy",50.81000,8.77400,hand:Marburg
"Philipps University of Marburg, Institute of Anatomy and Cell Biology",50.81000,8.77400,hand:Marburg
"Physikalisch-Technische Bundesanstalt, Biosignals",52.29650,10.46569,nominatim
Princeton University,40.33868,-74.65837,nominatim
