IC,YEAR,IPID
NCI,2024,138341
NCI,2024,135072
NCI,2024,134845
NCI,2024,135097
NCI,2024,134580
NCI,2024,135035
NCI,2024,134543
NCI,2024,134809
NCI,2024,134849
NCI,2024,134980
NCI,2024,135127
NCI,2024,134939
NCI,2024,134884
NCI,2024,134776
NCI,2024,134650
NCI,2024,134554
NCI,2024,134904
NCI,2024,135110
NCI,2024,135040
NCI,2024,134698
NCI,2024,134636
NCI,2024,134313
NCI,2024,134694
NCI,2024,134879
NCI,2024,134374
NCI,2024,134899
NCI,2024,134634
NCI,2024,134997
NCI,2024,134441
NCI,2024,134771
NCI,2024,135145
NCI,2024,134558
NCI,2024,134331
NCI,2024,135063
NCI,2024,134316
NCI,2024,134335
NCI,2024,134797
NCI,2024,134476
NCI,2024,134850
NCI,2024,134349
NCI,2024,134758
NCI,2024,134751
NCI,2024,134326
NCI,2024,134961
NCI,2024,135156
NCI,2024,134684
NCI,2024,134886
NCI,2024,134990
NCI,2024,134763
NCI,2024,134854
NCI,2024,134744
NCI,2024,134353
NCI,2024,134813
NCI,2024,134828
NCI,2024,134336
NCI,2024,134753
NCI,2024,134382
NCI,2024,135125
NCI,2024,134450
NCI,2024,134958
NCI,2024,134527
NCI,2024,134660
NCI,2024,134384
NCI,2024,134426
NCI,2024,134924
NCI,2024,134981
NCI,2024,134345
NCI,2024,134494
NCI,2024,134371
NCI,2024,134948
NCI,2024,134989
NCI,2024,134368
NCI,2024,134964
NCI,2024,134919
NCI,2024,135107
NCI,2024,135064
NCI,2024,134742
NCI,2024,134987
NCI,2024,134798
NCI,2024,134534
NCI,2024,135136
NCI,2024,134616
NCI,2024,134817
NCI,2024,134963
NCI,2024,135034
NCI,2024,134592
NCI,2024,135087
NCI,2024,134505
NCI,2024,134598
NCI,2024,135155
NCI,2024,134691
NCI,2024,134702
NCI,2024,134443
NCI,2024,134724
NCI,2024,134766
NCI,2024,135031
NCI,2024,134923
NCI,2024,134692
NCI,2024,134651
NCI,2024,134837
NCI,2024,134656
NCI,2024,134320
NCI,2024,134493
NCI,2024,134690
NCI,2024,135081
NCI,2024,134683
NCI,2024,134589
NCI,2024,134590
NCI,2024,134461
NCI,2024,134754
NCI,2024,134826
NCI,2024,134793
NCI,2024,135113
NCI,2024,134726
NCI,2024,134982
NCI,2024,134791
NCI,2024,135118
NCI,2024,134437
NCI,2024,135066
NCI,2024,134030
NCI,2024,134816
NCI,2024,134667
NCI,2024,134509
NCI,2024,134378
NCI,2024,134360
NCI,2024,134400
NCI,2024,135152
NCI,2024,134979
NCI,2024,134910
NCI,2024,135056
NCI,2024,135051
NCI,2024,134414
NCI,2024,135014
NCI,2024,134517
NCI,2024,134583
NCI,2024,134648
NCI,2024,134389
NCI,2024,134632
NCI,2024,134787
NCI,2024,134985
NCI,2024,138343
NCI,2024,138360
NCI,2024,134587
NCI,2024,134785
NCI,2024,135067
NCI,2024,134629
NCI,2024,135050
NCI,2024,134962
NCI,2024,134857
NCI,2024,134604
NCI,2024,134685
NCI,2024,134745
NCI,2024,134601
NCI,2024,134395
NCI,2024,134431
NCI,2024,134811
NCI,2024,135141
NCI,2024,135121
NCI,2024,134864
NCI,2024,134597
NCI,2024,134627
NCI,2024,134645
NCI,2024,134807
NCI,2024,134861
NCI,2024,134570
NCI,2024,135057
NCI,2024,135098
NCI,2024,134582
NCI,2024,134652
NCI,2024,138361
NCI,2024,134822
NCI,2024,135112
NCI,2024,134529
NCI,2024,134880
NCI,2024,134761
NCI,2024,134459
NCI,2024,134328
NCI,2024,134805
NCI,2024,134951
NCI,2024,134732
NCI,2024,135059
NCI,2024,134790
NCI,2024,134415
NCI,2024,134408
NCI,2024,134490
NCI,2024,135114
NCI,2024,134757
NCI,2024,135132
NCI,2024,134478
NCI,2024,135123
NCI,2024,134977
NCI,2024,134674
NCI,2024,135109
NCI,2024,135021
NCI,2024,134722
NCI,2024,138342
NCI,2024,134332
NCI,2024,134814
NCI,2024,134991
NCI,2024,135012
NCI,2024,134556
NCI,2024,134967
NCI,2024,134746
NCI,2024,134483
NCI,2024,134322
NCI,2024,134454
NCI,2024,135007
NCI,2024,135069
NCI,2024,134354
NCI,2024,134528
NCI,2024,135124
NCI,2024,134661
NCI,2024,134663
NCI,2024,134965
NCI,2024,135146
NCI,2024,134767
NCI,2024,134875
NCI,2024,138340
NCI,2024,134774
NCI,2024,134532
NCI,2024,134863
NCI,2024,135126
NCI,2024,134914
NCI,2024,135120
NCI,2024,134391
NCI,2024,135004
NCI,2024,134603
NCI,2024,134956
NCI,2024,135144
NCI,2024,135011
NCI,2024,134423
NCI,2024,134455
NCI,2024,134720
NCI,2024,134927
NCI,2024,134815
NCI,2024,134870
NCI,2024,134894
NCI,2024,135048
NCI,2024,134834
NCI,2024,134909
NCI,2024,134734
NCI,2024,134340
NCI,2024,135009
NCI,2024,135128
NCI,2024,138344
NCI,2024,134851
NCI,2024,134611
NCI,2024,134915
NCI,2024,134398
NCI,2024,134711
NCI,2024,135143
NCI,2024,134477
NCI,2024,134617
NCI,2024,134887
NCI,2024,134547
NCI,2024,134419
NCI,2024,134768
NCI,2024,135049
NCI,2024,134846
NCI,2024,134994
NCI,2024,134867
NCI,2024,138352
NCI,2024,134406
NCI,2024,134906
NCI,2024,134882
NCI,2024,134571
NCI,2024,135032
NCI,2024,134878
NCI,2024,134780
NCI,2024,135053
NCI,2024,134573
NCI,2024,134425
NCI,2024,134347
NCI,2024,134433
NCI,2024,134824
NCI,2024,134535
NCI,2024,134662
NCI,2024,134749
NCI,2024,134549
NCI,2024,134675
NCI,2024,134978
NCI,2024,134538
NCI,2024,135058
NCI,2024,134888
NCI,2024,134933
NCI,2024,134827
NCI,2024,134897
NCI,2024,135002
NCI,2024,134599
NCI,2024,134703
NCI,2024,134955
NCI,2024,135130
NCI,2024,134986
NCI,2024,138339
NCI,2024,134796
NCI,2024,134775
NCI,2024,134471
NCI,2024,134871
NCI,2024,135080
NCI,2024,134829
NCI,2024,135027
NCI,2024,134637
NCI,2024,135029
NCI,2024,134731
NCI,2024,135026
NCI,2024,134333
NCI,2024,135023
NCI,2024,138351
NCI,2024,134410
NCI,2024,134764
NCI,2024,134640
NCI,2024,134672
NCI,2024,134881
NCI,2024,138359
NCI,2024,134718
NCI,2024,134733
NCI,2024,134869
NCI,2024,134323
NCI,2024,134357
NCI,2024,134619
NCI,2024,134610
NCI,2024,135054
NCI,2024,134668
NCI,2024,135045
NCI,2024,134503
NCI,2024,134614
NCI,2024,135019
NCI,2024,134949
NCI,2024,134783
NCI,2024,134802
NCI,2024,135015
NCI,2024,135137
NCI,2024,134843
NCI,2024,134474
NCI,2024,134950
NCI,2024,134665
NCI,2024,134844
NCI,2024,134468
NCI,2024,134952
NCI,2024,134452
NCI,2024,134373
NCI,2024,134658
NCI,2024,134673
NCI,2024,134840
NCI,2024,138358
NCI,2024,134970
NCI,2024,134495
NCI,2024,134466
NCI,2024,134808
NCI,2024,134591
NCI,2024,134925
NCI,2024,135131
NCI,2024,134346
NCI,2024,134976
NCI,2024,135108
NCI,2024,134575
NCI,2024,134704
NCI,2024,135025
NCI,2024,134714
NCI,2024,134407
NCI,2024,134942
NCI,2024,134891
NCI,2024,135148
NCI,2024,134664
NCI,2024,134585
NCI,2024,134922
NCI,2024,135046
NCI,2024,134314
NCI,2024,134613
NCI,2024,135016
NCI,2024,135013
NCI,2024,134420
NCI,2024,135085
NCI,2024,135129
NCI,2024,134926
NCI,2024,135160
NCI,2024,134944
NCI,2024,135061
NCI,2024,134403
NCI,2024,135086
NCI,2024,134481
NCI,2024,134686
NCI,2024,134689
NCI,2024,135079
NCI,2024,135111
NCI,2024,134968
NCI,2024,134473
NCI,2024,134647
NCI,2024,134972
NCI,2024,134581
NCI,2024,134635
NCI,2024,134865
NCI,2024,134848
NCI,2024,134836
NCI,2024,134902
NCI,2024,134858
NCI,2024,134488
NCI,2024,135158
NCI,2024,134810
NCI,2024,134748
NCI,2024,134930
NCI,2024,134975
NCI,2024,135033
NCI,2024,134709
NCI,2024,134820
NCI,2024,135039
NCI,2024,134594
NCI,2024,134540
NCI,2024,137413
NCI,2024,134430
NCI,2024,134725
NCI,2024,134552
NCI,2024,134931
NCI,2024,134630
NCI,2024,134519
NCI,2024,134596
NCI,2024,134762
NCI,2024,134620
NCI,2024,134777
NCI,2024,134432
NCI,2024,134321
NCI,2024,134760
NCI,2024,135073
NCI,2024,134462
NCI,2024,134329
NCI,2024,134341
NCI,2024,134782
NCI,2024,134953
NCI,2024,135062
NCI,2024,134514
NCI,2024,134738
NCI,2024,134934
NCI,2024,134649
NCI,2024,134995
NCI,2024,135044
NCI,2024,134470
NCI,2024,135101
NCI,2024,134736
NCI,2024,134475
NCI,2024,134819
NCI,2024,134526
NCI,2024,134929
NCI,2024,134472
NCI,2024,134361
NCI,2024,135083
NCI,2024,135105
NCI,2024,134779
NCI,2024,134747
